         4210327 function calls (4155037 primitive calls) in 4.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 times.py:94(_ensure_padded_year)
        1    0.000    0.000    0.005    0.005 std.py:118(create_mp_lock)
        1    0.000    0.000    0.000    0.000 ops.py:66(BaseGrouper)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
       76    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       73    0.000    0.000    0.000    0.000 typing.py:992(<genexpr>)
      100    0.000    0.000    0.000    0.000 cycler.py:165(keys)
       11    0.000    0.000    0.012    0.001 entrypoints.py:10(init_all)
        1    0.000    0.000    0.000    0.000 typeinfer.py:1(<module>)
        4    0.000    0.000    0.000    0.000 merge.py:278(append_all)
        5    0.000    0.000    0.000    0.000 datetimelike.py:128(equals)
       10    0.000    0.000    0.001    0.000 core.py:2772(_generateDefaultName)
       55    0.000    0.000    0.000    0.000 imputils.py:54(decorate)
        1    0.000    0.000    0.002    0.002 execution.py:176(ExecutionMagics)
        3    0.000    0.000    0.000    0.000 instructions.py:65(__init__)
        5    0.000    0.000    0.009    0.002 variables.py:69(__array__)
        2    0.000    0.000    0.002    0.001 events.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1936(__new__)
        1    0.000    0.000    0.001    0.001 backend_agg.py:1(<module>)
       44    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        1    0.000    0.000    0.000    0.000 toolbars.py:1(<module>)
        1    0.000    0.000    0.004    0.004 py3k.py:1(<module>)
       18    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        5    0.000    0.000    0.000    0.000 numeric.py:2385(array_equal)
       77    0.000    0.000    0.000    0.000 base.py:386(_insert_setattr_defn)
        1    0.000    0.000    0.006    0.006 ewm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 foc.py:46(<listcomp>)
        1    0.000    0.000    0.195    0.195 rcmod.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:130(_add_integer_aliases)
        1    0.000    0.000    0.001    0.001 ewm.py:65(ExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 threading.py:280(wait)
        2    0.000    0.000    0.002    0.001 locks.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _hypotests.py:1(<module>)
        1    0.000    0.000    0.001    0.001 io.py:2(<module>)
        1    0.000    0.000    0.002    0.002 lexer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 instance.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stata.py:1024(StataReader)
        1    0.000    0.000    0.001    0.001 typing.py:1(<module>)
       66    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       37    0.000    0.000    0.000    0.000 argparse.py:1575(_pop_action_class)
        1    0.000    0.000    0.002    0.002 names.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _decorators.py:1(<module>)
      169    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        2    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.001    0.001 templates.py:1(<module>)
       19    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
        1    0.000    0.000    0.001    0.001 compressed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 targets.py:46(get_host_cpu_features)
        1    0.000    0.000    0.000    0.000 access.py:1(<module>)
       13    0.000    0.000    0.625    0.048 computation.py:645(<listcomp>)
       11    0.000    0.000    0.000    0.000 dispatcher.py:272(signatures)
       74    0.000    0.000    0.000    0.000 argparse.py:1375(_registry_get)
        1    0.000    0.000    0.004    0.004 matrix.py:1(<module>)
        4    0.000    0.000    0.000    0.000 templates.py:945(do_class_init)
        1    0.000    0.000    0.001    0.001 base_value.py:1(<module>)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
        1    0.000    0.000    0.002    0.002 ivp.py:1(<module>)
       17    0.000    0.000    0.000    0.000 merge.py:163(_assert_compat_valid)
       18    0.000    0.000    0.001    0.000 utils.py:333(disp_len)
       11    0.000    0.000    0.000    0.000 {method '_insert' of '_dispatcher.Dispatcher' objects}
        1    0.000    0.000    0.000    0.000 lines.py:198(Line2D)
        1    0.000    0.000    0.001    0.001 osm.py:31(OSMagics)
        1    0.000    0.000    0.032    0.032 axis.py:1(<module>)
       94    0.000    0.000    0.000    0.000 core.py:1854(streamline)
      104    0.000    0.000    0.000    0.000 docstring.py:92(do_copy)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 getlimits.py:415(_init)
      162    0.000    0.000    0.000    0.000 expr.py:244(_node_not_implemented)
        1    0.000    0.000    0.001    0.001 dbapi2.py:23(<module>)
       12    0.000    0.000    0.011    0.001 executionengine.py:87(finalize_object)
        1    0.000    0.000    0.001    0.001 array_ops.py:1(<module>)
       40    0.000    0.000    0.000    0.000 __init__.py:149(_get_frame_op_default_axis)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 completer.py:1011(IPCompleter)
       28    0.000    0.000    0.000    0.000 cache.py:60(decorator)
        1    0.000    0.000    0.001    0.001 mio5.py:1(<module>)
        5    0.000    0.000    0.000    0.000 cache.py:112(decorator)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plot.py:1(<module>)
       98    0.000    0.000    0.000    0.000 common.py:58(_reduce_method)
      104    0.000    0.000    0.000    0.000 docstring.py:90(copy)
       60    0.000    0.000    0.000    0.000 patches.py:2193(_register_style)
        5    0.000    0.000    0.002    0.000 std.py:1324(refresh)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
        2    0.000    0.000    0.000    0.000 random.py:126(seed)
        6    0.000    0.000    0.000    0.000 base.py:5473(_make_logical_function)
        1    0.000    0.000    0.000    0.000 setdecl.py:34(SetAttribute)
       16    0.000    0.000    0.000    0.000 integer.py:592(_create_arithmetic_method)
       32    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       11    0.000    0.000    0.002    0.000 dispatcher.py:811(enable_caching)
       41    0.000    0.000    0.000    0.000 docscrape.py:111(is_unindented)
       49    0.000    0.000    0.000    0.000 results.py:191(__getitem__)
      128    0.000    0.000    0.000    0.000 stride_tricks.py:362(_broadcast_to_dispatcher)
        1    0.000    0.000    0.001    0.001 scalars.py:1(<module>)
        7    0.000    0.000    0.000    0.000 types.py:423(wrap_constant_value)
       11    0.000    0.000    0.000    0.000 imputils.py:183(user_function)
       89    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        1    0.000    0.000    0.001    0.001 iterable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:87(Block)
        1    0.000    0.000    0.000    0.000 std.py:329(status_printer)
      176    0.000    0.000    0.000    0.000 version.py:362(local)
        1    0.000    0.000    0.000    0.000 common.py:46(<setcomp>)
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:1862(get_aliased_and_aliases)
        4    0.000    0.000    0.000    0.000 module.py:45(add_metadata)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
       11    0.000    0.000    0.000    0.000 tempfile.py:249(_sanitize_params)
      176    0.000    0.000    0.000    0.000 version.py:340(release)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
       11    0.000    0.000    0.003    0.000 core.py:1062(parse_string)
        1    0.000    0.000    0.018    0.018 common.py:2(<module>)
       20    0.000    0.000    0.000    0.000 getlimits.py:538(max)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 enumdecl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pythonapi.py:162(PythonAPI)
       15    0.000    0.000    0.000    0.000 __init__.py:3153(_find_adapter)
       42    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 base.py:176(BaseContext)
       22    0.000    0.000    0.000    0.000 indexes.py:553(propagate_indexes)
       20    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        5    0.000    0.000    0.014    0.003 netCDF4_.py:419(get_variables)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
       42    0.000    0.000    0.000    0.000 builder.py:351(_insert)
        1    0.000    0.000    0.000    0.000 __init__.py:34(_build_functions)
      176    0.000    0.000    0.000    0.000 version.py:357(dev)
        1    0.000    0.000    0.000    0.000 datetimes.py:117(DatetimeArray)
        1    0.000    0.000    0.000    0.000 mixed.py:1(<module>)
       14    0.000    0.000    0.000    0.000 minicompat.py:101(defproperty)
        8    0.000    0.000    0.000    0.000 random.py:343(choice)
      178    0.000    0.000    0.000    0.000 version.py:346(pre)
       11    0.000    0.000    0.000    0.000 dispatcher.py:284(disable_compile)
       15    0.000    0.000    0.000    0.000 rcsetup.py:339(_validate_cmap)
        1    0.000    0.000    0.000    0.000 groupby.py:479(_GroupBy)
        1    0.000    0.000    0.000    0.000 npytypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
        4    0.000    0.000    0.000    0.000 variable.py:592(_broadcast_indexes)
       15    0.000    0.000    0.001    0.000 core.py:2773(charsAsStr)
        7    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       14    0.000    0.000    0.625    0.045 computation.py:556(broadcast_compat_data)
        5    0.000    0.000    0.004    0.001 pyparsing.py:1608(parseString)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
       39    0.000    0.000    0.000    0.000 types.py:205(__new__)
      125    0.000    0.000    0.000    0.000 clouds.py:113(<listcomp>)
        5    0.000    0.000    0.003    0.001 variables.py:66(__getitem__)
       37    0.000    0.000    0.000    0.000 parser.py:109(split_opt)
      107    0.000    0.000    0.000    0.000 merge.py:240(<listcomp>)
        1    0.000    0.000    0.000    0.000 std.py:576(_get_free_pos)
       40    0.000    0.000    0.000    0.000 castgraph.py:62(__iter__)
        1    0.000    0.000    0.000    0.000 dop853_coefficients.py:1(<module>)
       26    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       20    0.000    0.000    0.000    0.000 builtins.py:141(choose_result_bitwidth)
        1    0.000    0.000    0.000    0.000 zarr.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _base.py:4(<module>)
        1    0.000    0.000    0.003    0.003 cfgrib_.py:1(<module>)
       14    0.000    0.000    0.000    0.000 re.py:223(split)
        1    0.000    0.000    0.008    0.008 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ltisys.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufuncbuilder.py:3(<module>)
       29    0.000    0.000    0.000    0.000 utils.py:23(_get_click_major)
       16    0.000    0.000    0.000    0.000 core.py:2801(parseImpl)
       15    0.000    0.000    0.001    0.000 core.py:2243(type_cast_value)
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
        2    0.000    0.000    0.000    0.000 generic.py:146(pinner)
     12/5    0.000    0.000    0.001    0.000 core.py:4054(streamline)
        1    0.000    0.000    0.001    0.001 pythonapi.py:168(__init__)
        1    0.000    0.000    0.000    0.000 pyplot.py:2058(<listcomp>)
        1    0.000    0.000    0.001    0.001 cftimeindex.py:1(<module>)
        1    0.000    0.000    0.004    0.004 debugger.py:2(<module>)
       20    0.000    0.000    0.186    0.009 indexing.py:356(__array__)
       12    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
       11    0.000    0.000    0.072    0.007 codegen.py:1149(unserialize_library)
       11    0.000    0.000    0.000    0.000 std.py:288(format_interval)
        1    0.000    0.000    0.032    0.032 polar.py:1(<module>)
       37    0.000    0.000    0.001    0.000 textwrap.py:336(_split_chunks)
       75    0.000    0.000    0.000    0.000 pythonapi.py:30(decorator)
        1    0.000    0.000    0.001    0.001 excel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cobyla.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array.py:198(SparseArray)
        4    0.000    0.000    0.001    0.000 quicksort.py:27(make_quicksort_impl)
        1    0.000    0.000    0.000    0.000 format.py:526(DataFrameFormatter)
       36    0.000    0.000    0.000    0.000 weakref.py:496(popitem)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
        2    0.000    0.000    0.000    0.000 indexers.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 accessors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _quadrature.py:1(<module>)
        3    0.000    0.000    0.000    0.000 instructions.py:113(_descr)
       42    0.000    0.000    0.000    0.000 utils.py:205(<genexpr>)
        1    0.000    0.000    0.001    0.001 indexes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _subplots.py:7(SubplotBase)
       19    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
        1    0.000    0.000    0.022    0.022 callconv.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:191(_update_values)
        1    0.000    0.000    0.000    0.000 numpy_.py:1(<module>)
       10    0.000    0.000    0.000    0.000 abstract.py:173(__call__)
        1    0.000    0.000    0.018    0.018 nrt.py:19(initialize)
       78    0.000    0.000    0.000    0.000 os.py:697(__iter__)
        1    0.000    0.000    0.001    0.001 vt100_parser.py:1(<module>)
       62    0.000    0.000    0.000    0.000 main.py:593(lenient_issubclass)
        1    0.000    0.000    0.001    0.001 file_manager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:162(__init__)
        1    0.000    0.000    0.000    0.000 externals.py:124(_do_install)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
       30    0.000    0.000    0.000    0.000 pathlib.py:1166(glob)
       11    0.000    0.000    0.003    0.000 common.py:62(wrapped_func)
        8    0.000    0.000    0.000    0.000 scalars.py:46(cast_python_value)
        5    0.000    0.000    0.001    0.000 dataarray.py:972(copy)
        4    0.000    0.000    0.000    0.000 functools.py:798(singledispatch)
        1    0.000    0.000    0.002    0.002 klass.py:1(<module>)
       25    0.000    0.000    0.000    0.000 computation.py:55(_all_of_type)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:36(ExtensionArray)
        1    0.000    0.000    0.310    0.310 boxplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.002    0.002 boolean.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
       23    0.000    0.000    0.000    0.000 serialize.py:52(_rebuild_module)
        1    0.000    0.000    0.001    0.001 npyfuncs.py:1(<module>)
       32    0.000    0.000    0.000    0.000 types.py:116(__init__)
        1    0.000    0.000    0.000    0.000 pytables.py:3200(Table)
        1    0.000    0.000    0.000    0.000 period.py:63(PeriodIndex)
        1    0.000    0.000    0.000    0.000 object_file.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:66(PeriodArray)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        2    0.000    0.000    0.000    0.000 core.py:2817(__new__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1443(find_distributions)
        3    0.000    0.000    0.001    0.000 docscrape.py:393(_parse)
      111    0.000    0.000    0.000    0.000 fromnumeric.py:3165(_size_dispatcher)
        4    0.000    0.000    0.000    0.000 arraypad.py:454(_as_pairs)
       12    0.000    0.000    0.004    0.000 pyparsing.py:4251(__init__)
        1    0.000    0.000    0.000    0.000 reshape.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 slsqp.py:1(<module>)
       29    0.000    0.000    0.000    0.000 mathimpl.py:123(unary_math_int_impl)
      216    0.000    0.000    0.000    0.000 argparse.py:683(<genexpr>)
        4    0.000    0.000    0.000    0.000 std.py:115(__exit__)
       52    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
      168    0.000    0.000    0.000    0.000 rcsetup.py:59(func)
        1    0.000    0.000    1.948    1.948 core.py:981(main)
      112    0.000    0.000    0.000    0.000 function_base.py:1160(_diff_dispatcher)
       10    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.042    0.042 offsetbox.py:1(<module>)
      139    0.000    0.000    0.000    0.000 pyparsing.py:3543(<genexpr>)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(linspace)
        2    0.000    0.000    0.000    0.000 dummy.py:1(<module>)
      125    0.000    0.000    0.000    0.000 clouds.py:114(<listcomp>)
      165    0.000    0.000    0.000    0.000 enum.py:551(<lambda>)
        1    0.000    0.000    0.000    0.000 stata.py:2115(StataWriter)
        3    0.000    0.000    0.000    0.000 palettes.py:93(color_palette)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
       14    0.000    0.000    0.000    0.000 metadata.py:465(__init__)
       33    0.000    0.000    0.000    0.000 contextlib.py:470(_push_exit_callback)
      181    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
       33    0.000    0.000    0.000    0.000 dataclasses.py:353(<listcomp>)
        3    0.000    0.000    0.002    0.001 patches.py:2159(pprint_styles)
        1    0.000    0.000    0.001    0.001 patches.py:2201(BoxStyle)
       24    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
        2    0.000    0.000    0.000    0.000 shape_base.py:29(_make_along_axis_idx)
       42    0.000    0.000    0.000    0.000 base.py:154(_make_arithmetic_op)
        1    0.000    0.000    0.001    0.001 _parser.py:2(<module>)
       10    0.000    0.000    0.000    0.000 version.py:444(_cmpkey)
        2    0.000    0.000    0.001    0.000 variable.py:1293(pad)
        6    0.000    0.000    0.000    0.000 colors.py:1479(make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 vt100.py:402(Vt100_Output)
      154    0.000    0.000    0.000    0.000 core.py:1686(leave_whitespace)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
       15    0.000    0.000    0.000    0.000 {method 'isunlimited' of 'netCDF4._netCDF4.Dimension' objects}
       11    0.000    0.000    0.000    0.000 traitlets.py:2292(__init__)
        1    0.000    0.000    0.001    0.001 core.py:5758(<listcomp>)
        1    0.000    0.000    0.000    0.000 widgets.py:3339(PolygonSelector)
        2    0.000    0.000    0.002    0.001 codegen.py:1152(_module_pass_manager)
        1    0.000    0.000    0.002    0.002 sys_path.py:1(<module>)
        1    0.000    0.000    0.000    0.000 django.py:1(<module>)
       14    0.000    0.000    0.000    0.000 containers.py:449(key)
        3    0.000    0.000    0.000    0.000 deprecation.py:442(<listcomp>)
        2    0.000    0.000    0.000    0.000 nrtdynmod.py:108(_define_atomic_inc_dec)
       11    0.000    0.000    0.000    0.000 docscrape.py:192(_is_at_section)
       86    0.000    0.000    0.000    0.000 __init__.py:907(_added_new)
       11    0.000    0.000    0.000    0.000 tempfile.py:224(_infer_return_type)
      120    0.000    0.000    0.000    0.000 base.py:1378(nlevels)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      136    0.000    0.000    0.000    0.000 core.py:3772(<genexpr>)
       11    0.000    0.000    0.000    0.000 funcdesc.py:114(llvm_cpython_wrapper_name)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:581(_ReducedHCT_Element)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        8    0.000    0.000    0.000    0.000 generic.py:11505(_make_cum_function)
        3    0.000    0.000    0.000    0.000 rcmod.py:296(<dictcomp>)
        1    0.000    0.000    0.000    0.000 helpers.py:1034(<listcomp>)
       26    0.000    0.000    0.000    0.000 computation.py:104(all_core_dims)
        5    0.000    0.000    0.000    0.000 plugins.py:155(get_backend)
        1    0.000    0.000    0.025    0.025 rolling.py:358(reduce)
       39    0.000    0.000    0.000    0.000 computation.py:640(<genexpr>)
        1    0.000    0.000    0.000    0.000 data.py:1(<module>)
       37    0.000    0.000    0.000    0.000 argparse.py:1812(_add_action)
       17    0.000    0.000    0.000    0.000 _methods.py:42(_amin)
        1    0.000    0.000    0.004    0.004 eval.py:1(<module>)
        1    0.000    0.000    0.007    0.007 search.py:1(<module>)
      110    0.000    0.000    0.000    0.000 fromnumeric.py:193(_reshape_dispatcher)
        1    0.000    0.000    0.001    0.001 _normalize.py:4(<module>)
        1    0.000    0.000    0.002    0.002 pty_spawn.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:858(DataFrameGroupBy)
       12    0.000    0.000    0.000    0.000 functools.py:191(<setcomp>)
       15    0.000    0.000    0.000    0.000 _methods.py:38(_amax)
        3    0.000    0.000    0.000    0.000 options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 key_processor.py:2(<module>)
        6    0.000    0.000    0.000    0.000 builder.py:297(if_then)
        1    0.000    0.000    0.000    0.000 legend.py:284(Legend)
       37    0.000    0.000    0.000    0.000 magic_arguments.py:180(__call__)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:1(<module>)
    39/35    0.000    0.000    0.000    0.000 typing.py:285(_eval_type)
        1    0.000    0.000    0.004    0.004 path.py:2(<module>)
        5    0.000    0.000    0.000    0.000 read_eprofile.py:20(_check_path)
        1    0.000    0.000    0.002    0.002 diff.py:1(<module>)
       24    0.000    0.000    0.000    0.000 types.py:962(convert_type)
       56    0.000    0.000    0.000    0.000 datetimelike.py:1082(freq)
        1    0.000    0.000    0.176    0.176 table.py:9(<module>)
       40    0.000    0.000    0.000    0.000 common.py:183(classes_and_not_datetimelike)
        1    0.000    0.000    0.000    0.000 shortcuts.py:1(<module>)
       21    0.000    0.000    0.000    0.000 threading.py:82(RLock)
        1    0.000    0.000    0.000    0.000 pygments.py:72(RegexSync)
       82    0.000    0.000    0.000    0.000 scalars.py:49(__lt__)
       14    0.000    0.000    0.000    0.000 expr.py:177(_filter_nodes)
        1    0.000    0.000    0.000    0.000 threading.py:873(start)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
       24    0.000    0.000    0.000    0.000 utils.py:468(__contains__)
        1    0.000    0.000    0.001    0.001 byteflow.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arithmetic.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       12    0.000    0.000    0.000    0.000 nanops.py:53(__init__)
        1    0.000    0.000    0.001    0.001 _ode.py:2(<module>)
        1    0.000    0.000    0.000    0.000 array_exprs.py:1(<module>)
       44    0.000    0.000    0.000    0.000 argparse.py:208(_dedent)
        3    0.000    0.000    0.000    0.000 rcmod.py:152(axes_style)
        9    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
       12    0.000    0.000    0.000    0.000 types.py:77(__call__)
        1    0.000    0.000    0.000    0.000 heapq.py:4(<module>)
        1    0.000    0.000    0.000    0.000 controls.py:508(BufferControl)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.006    0.006 uuid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 project.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formatters.py:567(PlainTextFormatter)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
      120    0.000    0.000    0.000    0.000 patches.py:2177(<genexpr>)
        1    0.000    0.000    0.001    0.001 fuzzy_completer.py:1(<module>)
       33    0.000    0.000    0.000    0.000 normalizer.py:78(register_rule)
       14    0.000    0.000    0.000    0.000 dataclasses.py:863(<listcomp>)
        1    0.000    0.000    0.053    0.053 art3d.py:5(<module>)
       22    0.000    0.000    0.000    0.000 platform.py:914(system)
        1    0.000    0.000    0.000    0.000 mio5_params.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraydecl.py:234(ArrayAttribute)
        1    0.000    0.000    0.000    0.000 text.py:91(Text)
       15    0.000    0.000    0.000    0.000 ops.py:242(<listcomp>)
        1    0.000    0.000    0.000    0.000 layout.py:26(Layout)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        5    0.000    0.000    0.000    0.000 file_manager.py:147(_make_key)
       21    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
       12    0.000    0.000    0.000    0.000 codegen.py:1011(resolve)
       20    0.000    0.000    0.000    0.000 values.py:716(_to_list)
       30    0.000    0.000    0.000    0.000 indexing.py:352(__init__)
        1    0.000    0.000    0.909    0.909 dataset_plot.py:1(<module>)
       85    0.000    0.000    0.000    0.000 common.py:37(_decode_variable_name)
       94    0.000    0.000    0.000    0.000 typing.py:639(<genexpr>)
        1    0.000    0.000    0.000    0.000 python.py:801(CythonLexer)
        1    0.000    0.000    0.000    0.000 _fitpack_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 doccer.py:1(<module>)
       42    0.000    0.000    0.000    0.000 platform.py:825(uname)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
       29    0.000    0.000    0.003    0.000 computation.py:652(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:47(MPLPlot)
        1    0.000    0.000    0.000    0.000 __init__.py:334(<listcomp>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
       56    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
        1    0.000    0.000    0.000    0.000 emacs.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_highs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rolling.py:134(_Window)
        1    0.000    0.000    0.000    0.000 base_events.py:384(BaseEventLoop)
       16    0.000    0.000    0.000    0.000 core.py:1512(__or__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 afm.py:1(<module>)
        1    0.000    0.000    0.028    0.028 profiles.py:202(time_avg)
       13    0.000    0.000    0.000    0.000 values.py:779(__init__)
        1    0.000    0.000    0.019    0.019 config.py:278(avx_default)
       94    0.000    0.000    0.000    0.000 fromnumeric.py:1117(_argmax_dispatcher)
        1    0.000    0.000    0.000    0.000 weighted.py:63(Weighted)
        1    0.000    0.000    0.002    0.002 masked.py:1(<module>)
        5    0.000    0.000    0.004    0.001 decoder.py:332(decode)
        5    0.000    0.000    0.000    0.000 dataset.py:4337(_assert_all_in_dataset)
      172    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        5    0.000    0.000    0.001    0.000 dataclasses.py:550(_frozen_get_del_attr)
        1    0.000    0.000    0.008    0.008 mio4.py:1(<module>)
        7    0.000    0.000    0.000    0.000 platform.py:1002(_sys_version)
      119    0.000    0.000    0.000    0.000 expr.py:185(<lambda>)
        1    0.000    0.000    0.000    0.000 colorbar.py:289(Colorbar)
    22/21    0.000    0.000    0.000    0.000 values.py:130(_get_reference)
        1    0.000    0.000    0.005    0.005 std.py:92(__init__)
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:119(parse)
        3    0.000    0.000    0.001    0.000 _docstrings.py:48(from_function_params)
        2    0.000    0.000    0.000    0.000 containers.py:290(__init__)
        1    0.000    0.000    0.000    0.000 coordinates.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
       23    0.000    0.000    0.000    0.000 core.py:4908(__init__)
      110    0.000    0.000    0.000    0.000 fromnumeric.py:2362(_all_dispatcher)
