         4210327 function calls (4155037 primitive calls) in 4.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      959    0.002    0.000    0.004    0.000 enum.py:88(__setitem__)
     2072    0.002    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      111    0.002    0.000    0.006    0.000 filter_design.py:2480(bilinear_zpk)
       30    0.002    0.000    0.002    0.000 timedeltas.py:125(_coerce_scalar_to_timedelta_type)
      205    0.002    0.000    0.002    0.000 {method 'getncattr' of 'netCDF4._netCDF4.Variable' objects}
      222    0.002    0.000    0.009    0.000 polynomial.py:44(poly)
      637    0.002    0.000    0.023    0.000 typing.py:434(Union)
     1679    0.002    0.000    0.002    0.000 {built-in method numpy.array}
     5185    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      595    0.002    0.000    0.003    0.000 variables.py:105(unpack_for_decoding)
      218    0.002    0.000    0.003    0.000 pathlib.py:64(parse_parts)
     6704    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       15    0.002    0.000    0.017    0.001 times.py:178(_decode_datetime_with_pandas)
     1156    0.002    0.000    0.006    0.000 variable.py:190(as_compatible_data)
      111    0.002    0.000    0.030    0.000 filter_design.py:2238(iirfilter)
    11941    0.002    0.000    0.003    0.000 _mathtext.py:2469(<genexpr>)
      716    0.002    0.000    0.002    0.000 context.py:491(insert_function)
    10086    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      407    0.002    0.000    0.153    0.000 sre_compile.py:759(compile)
      104    0.002    0.000    0.079    0.001 _distn_infrastructure.py:1689(__init__)
8523/8521    0.002    0.000    0.003    0.000 {built-in method builtins.issubclass}
      213    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      101    0.002    0.000    0.007    0.000 artist.py:139(<listcomp>)
        1    0.002    0.002    0.017    0.017 extras.py:716(_median)
      110    0.002    0.000    0.002    0.000 special_matrices.py:552(companion)
      297    0.002    0.000    0.015    0.000 common.py:239(__getattr__)
      103    0.002    0.000    0.010    0.000 metadata.py:444(search)
     1676    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     7937    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
     1676    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      407    0.002    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
       42    0.002    0.000    0.003    0.000 utils.py:80(_StartCountStride)
      111    0.002    0.000    0.006    0.000 filter_design.py:2621(lp2hp_zpk)
     1491    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
     2209    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:351(__init__)
      220    0.002    0.000    0.002    0.000 {built-in method scipy.signal.sigtools._linear_filter}
    18640    0.002    0.000    0.002    0.000 abstract.py:95(key)
     1774    0.002    0.000    0.002    0.000 shape_base.py:23(atleast_1d)
      112    0.002    0.000    0.016    0.000 profiles.py:30(_get_index_from_altitude_AGL)
     3360    0.002    0.000    0.017    0.000 base.py:1224(exit_fn)
        5    0.002    0.000    0.004    0.001 decoder.py:343(raw_decode)
        4    0.002    0.000    0.002    0.001 codata.py:1498(parse_constants_2002to2014)
     1197    0.002    0.000    0.003    0.000 context.py:459(_insert_global)
     3360    0.002    0.000    0.015    0.000 base.py:1221(enter_fn)
  2600/12    0.002    0.000    2.320    0.193 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    21883    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      100    0.002    0.000    0.002    0.000 {built-in method posix.open}
     7555    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
       89    0.002    0.000    0.010    0.000 traitlets.py:809(setup_class)
    11468    0.002    0.000    0.002    0.000 {built-in method builtins.id}
       85    0.002    0.000    0.005    0.000 variables.py:187(<setcomp>)
     1322    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
     4709    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      110    0.001    0.000    0.043    0.000 clouds.py:120(_find_tops)
      182    0.001    0.000    0.033    0.000 variable.py:83(as_variable)
     5620    0.001    0.000    0.001    0.000 event.py:122(is_start)
     1676    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     4850    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      286    0.001    0.000    0.006    0.000 overrides.py:89(verify_matching_signatures)
     2134    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
      128    0.001    0.000    0.002    0.000 stride_tricks.py:339(_broadcast_to)
      619    0.001    0.000    0.019    0.000 extending.py:119(decorate)
     3053    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
     4576    0.001    0.000    0.003    0.000 version.py:98(_compare)
     3591    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
      898    0.001    0.000    0.014    0.000 value.py:206(is_declaration)
      316    0.001    0.000    0.043    0.000 overrides.py:183(decorator)
     1542    0.001    0.000    0.010    0.000 typing.py:676(__init__)
      335    0.001    0.000    0.011    0.000 variable.py:970(_replace)
     1203    0.001    0.000    0.001    0.000 utils.py:253(__setitem__)
     1021    0.001    0.000    0.001    0.000 variable.py:883(encoding)
 1263/452    0.001    0.000    0.006    0.000 __init__.py:2385(yield_lines)
     2810    0.001    0.000    0.002    0.000 event.py:249(on_start)
       88    0.001    0.000    0.020    0.000 configparser.py:601(__init__)
     1676    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     9439    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
        1    0.001    0.001    0.182    0.182 aprocess.py:78(<listcomp>)
     1625    0.001    0.000    0.010    0.000 variable.py:324(shape)
      111    0.001    0.000    0.002    0.000 filter_design.py:4167(buttap)
     7267    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     2134    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:160(__exit__)
        4    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      129    0.001    0.000    0.002    0.000 configparser.py:1243(__init__)
        2    0.001    0.001    0.001    0.001 {method 'take' of 'numpy.ndarray' objects}
    12289    0.001    0.000    0.001    0.000 inspect.py:2865(parameters)
      637    0.001    0.000    0.004    0.000 typing.py:232(_remove_dups_flatten)
       46    0.001    0.000    0.040    0.001 codegen.py:1063(<setcomp>)
      110    0.001    0.000    0.007    0.000 signaltools.py:3495(lfilter_zi)
      407    0.001    0.000    0.097    0.000 sre_parse.py:937(parse)
4126/3574    0.001    0.000    0.178    0.000 {built-in method builtins.next}
     1186    0.001    0.000    0.011    0.000 {built-in method builtins.any}
     1330    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(copyto)
    10413    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     2032    0.001    0.000    0.004    0.000 castgraph.py:39(insert)
        5    0.001    0.000    0.293    0.059 conventions.py:460(decode_cf_variables)
2881/2711    0.001    0.000    0.002    0.000 abstract.py:120(__eq__)
      445    0.001    0.000    0.019    0.000 typing.py:831(__getitem__)
3844/2268    0.001    0.000    0.003    0.000 typing.py:755(__hash__)
      498    0.001    0.000    0.001    0.000 function_base.py:2103(__init__)
     1143    0.001    0.000    0.001    0.000 context.py:445(_lookup_global)
      192    0.001    0.000    0.003    0.000 nanfunctions.py:183(_divide_by_count)
     1099    0.001    0.000    0.001    0.000 enum.py:462(__setattr__)
     3217    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
     3618    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1138    0.001    0.000    0.006    0.000 numeric.py:149(ones)
     1704    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
  900/878    0.001    0.000    0.004    0.000 copy.py:258(_reconstruct)
      110    0.001    0.000    0.014    0.000 signaltools.py:3885(filtfilt)
      420    0.001    0.000    0.003    0.000 inspect.py:1840(_signature_bound_method)
      134    0.001    0.000    0.005    0.000 inspect.py:1129(getfullargspec)
     3346    0.001    0.000    0.005    0.000 typing.py:128(_type_convert)
     1322    0.001    0.000    0.002    0.000 base.py:143(append)
    13903    0.001    0.000    0.001    0.000 inspect.py:2560(kind)
      123    0.001    0.000    0.050    0.000 _distn_infrastructure.py:794(_construct_doc)
      110    0.001    0.000    0.002    0.000 _arraytools.py:55(odd_ext)
     5214    0.001    0.000    0.002    0.000 inspect.py:73(isclass)
      112    0.001    0.000    0.003    0.000 function_base.py:1164(diff)
      619    0.001    0.000    0.001    0.000 extending.py:59(overload)
     1176    0.001    0.000    0.001    0.000 variable.py:872(attrs)
       77    0.001    0.000    0.036    0.000 base.py:378(insert_func_defn)
     1413    0.001    0.000    0.012    0.000 __init__.py:623(__setitem__)
      493    0.001    0.000    0.002    0.000 pathlib.py:715(_from_parsed_parts)
      123    0.001    0.000    0.013    0.000 _distn_infrastructure.py:713(_construct_argparser)
       22    0.001    0.000    0.002    0.000 {built-in method _pickle.loads}
     5608    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
      154    0.001    0.000    0.002    0.000 version.py:309(parse)
       98    0.001    0.000    0.001    0.000 {method 'getncattr' of 'netCDF4._netCDF4.Dataset' objects}
        1    0.001    0.001    0.001    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
      215    0.001    0.000    0.005    0.000 pathlib.py:682(_parse_args)
       24    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      188    0.001    0.000    0.001    0.000 colors.py:1001(<listcomp>)
     3610    0.001    0.000    0.002    0.000 ffi.py:93(__getattr__)
